iter	Passed	Remaining
0	144	43081
1	147	21911
2	149	14847
3	153	11322
4	156	9259
5	160	7858
6	163	6839
7	166	6082
8	169	5486
9	173	5018
10	176	4627
11	178	4295
12	181	4016
13	184	3775
14	188	3574
15	191	3395
16	194	3233
17	197	3088
18	200	2959
19	203	2844
20	206	2740
21	209	2642
22	211	2553
23	214	2471
24	217	2395
25	220	2328
26	224	2265
27	226	2204
28	229	2148
29	232	2095
30	236	2048
31	239	2004
32	242	1960
33	245	1919
34	248	1879
35	251	1843
36	254	1809
37	257	1775
38	260	1744
39	263	1713
40	266	1685
41	269	1658
42	272	1631
43	275	1605
44	278	1579
45	281	1555
46	284	1533
47	287	1510
48	290	1490
49	293	1468
50	296	1448
51	299	1429
52	302	1410
53	305	1391
54	308	1373
55	311	1356
56	314	1339
57	317	1322
58	319	1307
59	322	1291
60	325	1276
61	328	1261
62	331	1247
63	334	1233
64	337	1220
65	340	1206
66	343	1193
67	346	1180
68	348	1168
69	351	1155
70	354	1144
71	357	1132
72	360	1120
73	363	1109
74	366	1098
75	369	1088
76	372	1078
77	375	1068
78	378	1058
79	381	1049
80	384	1039
81	387	1030
82	390	1020
83	393	1011
84	396	1002
85	399	994
86	402	985
87	405	977
88	408	968
89	411	960
90	414	952
91	417	944
92	420	936
93	423	928
94	426	920
95	429	913
96	432	905
97	435	898
98	438	890
99	441	883
100	444	876
101	447	869
102	450	862
103	453	854
104	456	847
105	459	840
106	462	833
107	465	827
108	468	820
109	471	814
110	474	807
111	477	801
112	480	794
113	483	788
114	486	782
115	489	775
116	492	769
117	494	763
118	497	757
119	500	751
120	503	745
121	506	739
122	509	733
123	512	727
124	515	721
125	518	715
126	521	709
127	523	704
128	526	698
129	529	692
130	532	687
131	535	681
132	538	676
133	541	670
134	544	665
135	547	659
136	549	654
137	552	648
138	555	643
139	558	638
140	561	633
141	564	627
142	567	622
143	570	617
144	573	612
145	576	607
146	579	602
147	581	597
148	584	592
149	587	587
150	590	582
151	593	577
152	596	572
153	599	568
154	602	563
155	605	558
156	608	554
157	611	549
158	614	544
159	616	539
160	619	535
161	622	530
162	625	525
163	628	521
164	631	516
165	634	512
166	637	507
167	640	503
168	643	498
169	646	494
170	648	489
171	651	485
172	654	480
173	657	476
174	660	471
175	663	467
176	666	463
177	669	458
178	671	454
179	674	449
180	677	445
181	680	441
182	683	436
183	686	432
184	689	428
185	692	424
186	694	419
187	697	415
188	700	411
189	703	407
190	706	403
191	709	398
192	712	394
193	714	390
194	717	386
195	720	382
196	723	378
197	726	374
198	729	370
199	732	366
200	735	362
201	737	357
202	740	354
203	743	350
204	746	345
205	749	341
206	752	338
207	755	334
208	758	330
209	761	326
210	763	322
211	766	318
212	769	314
213	772	310
214	775	306
215	778	302
216	781	298
217	784	295
218	787	291
219	790	287
220	793	283
221	796	279
222	799	275
223	802	272
224	805	268
225	808	264
226	811	260
227	814	257
228	817	253
229	820	249
230	823	245
231	826	242
232	829	238
233	832	234
234	835	231
235	838	227
236	841	223
237	844	219
238	847	216
239	849	212
240	852	208
241	855	205
242	858	201
243	861	197
244	864	194
245	867	190
246	870	186
247	873	183
248	875	179
249	878	175
250	881	172
251	884	168
252	887	164
253	890	161
254	893	157
255	896	154
256	899	150
257	902	146
258	905	143
259	907	139
260	910	136
261	913	132
262	916	128
263	919	125
264	922	121
265	925	118
266	928	114
267	931	111
268	934	107
269	937	104
270	940	100
271	942	97
272	946	93
273	949	90
274	952	86
275	955	83
276	958	79
277	961	76
278	964	72
279	967	69
280	970	65
281	973	62
282	975	58
283	979	55
284	981	51
285	984	48
286	987	44
287	990	41
288	993	37
289	996	34
290	999	30
291	1002	27
292	1005	24
293	1008	20
294	1011	17
295	1014	13
296	1017	10
297	1020	6
298	1023	3
299	1026	0
